,IATA,airport,city,country,pagerank
3385,LAX,Los Angeles Intl,Los Angeles,United States,0.00357941779728
3731,ORD,Chicago Ohare Intl,Chicago,United States,0.00356968861805
3652,DEN,Denver Intl,Denver,United States,0.00355707213361
503,LHR,Heathrow,London,United Kingdom,0.00278692524859
3222,SIN,Changi Intl,Singapore,Singapore,0.00275323946469
3583,ATL,Hartsfield Jackson Atlanta Intl,Atlanta,United States,0.00273316401747
1358,CDG,Charles De Gaulle,Paris,France,0.00269651297052
3268,PEK,Capital Intl,Beijing,China,0.00268055046794
337,FRA,Frankfurt Main,Frankfurt,Germany,0.00263450172017
3265,SYD,Sydney Intl,Sydney,Australia,0.00259778392785
3571,DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,0.00246411014368
3698,JFK,John F Kennedy Intl,New York,United States,0.00245064996774
575,AMS,Schiphol,Amsterdam,Netherlands,0.00241699806747
3921,DME,Domododevo,Moscow,Russia,0.00235690254039
191,YYZ,Lester B Pearson Intl,Toronto,Canada,0.00224444341967
3155,ICN,Incheon Intl,Seoul,South Korea,0.0022403066854
2137,DXB,Dubai Intl,Dubai,United Arab Emirates,0.0022353221382
3307,PVG,Pudong,Shanghai,China,0.00210971613998
1673,IST,Ataturk,Istanbul,Turkey,0.00208836428848
1195,BCN,Barcelona,Barcelona,Spain,0.00208151859299
3226,BNE,Brisbane Intl,Brisbane,Australia,0.0020177092019
2996,HKG,Hong Kong Intl,Hong Kong,Hong Kong,0.0020163045843
3786,BKK,Suvarnabhumi Intl,Bangkok,Thailand,0.00192225393871
2638,BOG,Eldorado Intl,Bogota,Colombia,0.00191661089945
3477,MIA,Miami Intl,Miami,United States,0.00188608881524
1789,MEX,Licenciado Benito Juarez Intl,Mexico City,Mexico,0.00186227938059
1529,FCO,Fiumicino,Rome,Italy,0.0018547554978
3370,SFO,San Francisco Intl,San Francisco,United States,0.00181088831693
3210,KUL,Kuala Lumpur Intl,Kuala Lumpur,Malaysia,0.00180944229918
498,LGW,Gatwick,London,United Kingdom,0.00180665382024
343,MUC,Franz Josef Strauss,Munich,Germany,0.00178793435853
3451,IAH,George Bush Intercontinental,Houston,United States,0.0017862653673
1206,MAD,Barajas,Madrid,Spain,0.00176839954335
3478,SEA,Seattle Tacoma Intl,Seattle,United States,0.00176027044857
3012,DEL,Indira Gandhi Intl,Delhi,India,0.00175949987606
3759,MSP,Minneapolis St Paul Intl,Minneapolis,United States,0.00175010574529
3777,CLT,Charlotte Douglas Intl,Charlotte,United States,0.00175003429061
2223,NRT,Narita Intl,Tokyo,Japan,0.00173325080416
2335,MNL,Ninoy Aquino Intl,Manila,Philippines,0.00172609004651
2870,LED,Pulkovo,St. Petersburg,Russia,0.00170087982737
1586,VIE,Schwechat,Vienna,Austria,0.00169630673363
3273,CAN,Baiyun Intl,Guangzhou,China,0.00162283232204
2495,GRU,Guarulhos Gov Andre Franco Montouro,Sao Paulo,Brazil,0.00161776677402
3778,LAS,Mc Carran Intl,Las Vegas,United States,0.00160865841241
2374,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,0.00158743436105
1965,AKL,Auckland Intl,Auckland,New Zealand,0.00156180790292
798,JNB,Johannesburg Intl,Johannesburg,South Africa,0.00154077118796
3182,CGK,Soekarno Hatta Intl,Jakarta,Indonesia,0.00152798356604
474,MAN,Manchester,Manchester,United Kingdom,0.00152384151058
2917,BOM,Chhatrapati Shivaji Intl,Mumbai,India,0.00151092044723
3395,EWR,Newark Liberty Intl,Newark,United States,0.00150909888763
299,BRU,Brussels Natl,Brussels,Belgium,0.00150813259849
3890,PMI,Son Sant Joan,Palma de Mallorca,Spain,0.00150635219516
154,YVR,Vancouver Intl,Vancouver,Canada,0.0015028348999
342,DUS,Dusseldorf,Duesseldorf,Germany,0.00148994439279
3244,MEL,Melbourne Intl,Melbourne,Australia,0.00148097619188
